id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,actual_rainfall,rfs_rainfall,normal_rainfall,rainfall_deviation,agri_year,irrigation_food_category,irrigation_crop_type,irrigation_crop_name,irrigation_crop_code,irrigation_season,crop_irrigation_area,total_irrigated_area
363800,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699,Groundnut,1001.0,Oilseeds,Kharif,24.0,Hectare,60.0,Tonnes,2.5,Tonnes/Hectare,Adilabad,1302.1600000000003,713.9994093663,1103.5999999999992,75.47406806012893,2018-2019,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1124.0,944546.0
385825,2019-2020,Telangana,36,Kumuram Bheem Asifabad,699,Groundnut,1001.0,Oilseeds,Kharif,23.0,Hectare,62.0,Tonnes,2.696,Tonnes/Hectare,Adilabad,1414.6799999999992,775.7156292398001,1103.7999999999993,69.93118002375942,2019-2020,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,660.0,1048794.0
406884,2020-2021,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Kharif,6.0,Hectare,10.0,Tonnes,1.667,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1720.0,1101556.0
407368,2020-2021,Telangana,36,Kumuram Bheem Asifabad,699,Groundnut,1001.0,Oilseeds,Kharif,2.0,Hectare,3.0,Tonnes,1.5,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1720.0,1101556.0
407509,2020-2021,Telangana,36,Mancherial,684,Groundnut,1001.0,Oilseeds,Kharif,33.0,Hectare,52.0,Tonnes,1.576,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1720.0,1101556.0
407834,2020-2021,Telangana,36,Nirmal,680,Groundnut,1001.0,Oilseeds,Kharif,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,1114.7199999999991,567.5759671105001,1103.5999999999992,-15.100530357419071,2020-2021,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1720.0,1101556.0
428143,2021-2022,Telangana,36,Adilabad,501,Groundnut,1001.0,Oilseeds,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1501.0,1041832.0
428700,2021-2022,Telangana,36,Kumuram Bheem Asifabad,699,Groundnut,1001.0,Oilseeds,Kharif,38.0,Hectare,82.0,Tonnes,2.158,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1501.0,1041832.0
428864,2021-2022,Telangana,36,Mancherial,684,Groundnut,1001.0,Oilseeds,Kharif,1.0,Hectare,2.0,Tonnes,2.0,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1501.0,1041832.0
429259,2021-2022,Telangana,36,Nirmal,680,Groundnut,1001.0,Oilseeds,Kharif,4.0,Hectare,9.0,Tonnes,2.25,Tonnes/Hectare,Adilabad,1417.6999999999996,762.8942399207006,1103.5999999999992,47.542024516481625,2021-2022,Non Food Crop,Oilseeds,Groundnut,1001.0,Kharif,1501.0,1041832.0
