id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
477770,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,8305.0,Adilabad
477771,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Adilabad
477772,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,2737.0,Adilabad
477773,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Adilabad
477774,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,155.0,Adilabad
477775,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,,Adilabad
477776,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,,Adilabad
477777,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Pulses,Pulses,Gram,201.0,,58.0,Adilabad
477778,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Kharif,6.0,Adilabad
477779,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,15.0,Adilabad
477780,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Adilabad
477781,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,,Adilabad
477782,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Adilabad
477783,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Adilabad
477784,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Adilabad
477785,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,,Adilabad
477786,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,71594.0,Adilabad
477787,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Adilabad
477788,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Adilabad
477789,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Adilabad
477790,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Adilabad
477791,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,,Adilabad
477792,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,,Adilabad
477793,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Adilabad
477794,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,,Adilabad
477795,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Adilabad
477796,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,,Adilabad
477797,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Adilabad
477798,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Adilabad
477799,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,3.0,Adilabad
477800,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,1.0,Warangal
477801,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Warangal
477802,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Warangal
477803,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,512.0,Warangal
477804,2018-2019,Telangana,36,Mahabubabad,688.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Warangal
