id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
284816,2014-2015,Telangana,36,Khammam,509,Mesta,1103.0,Fiber Crops,Kharif,7.0,Hectare,50.0,Tonnes,7.143,Tonnes/Hectare,Khammam
284817,2014-2015,Telangana,36,Khammam,509,Mesta,1103.0,Fiber Crops,Rabi,170.0,Hectare,1205.0,Tonnes,7.088,Tonnes/Hectare,Khammam
284818,2014-2015,Telangana,36,Khammam,509,Mesta,1103.0,Fiber Crops,Total,177.0,Hectare,1255.0,Tonnes,7.09,Tonnes/Hectare,Khammam
284819,2014-2015,Telangana,36,Khammam,509,Moong(Green Gram),204.0,Pulses,Kharif,4845.0,Hectare,2423.0,Tonnes,0.5,Tonnes/Hectare,Khammam
284820,2014-2015,Telangana,36,Khammam,509,Moong(Green Gram),204.0,Pulses,Rabi,6403.0,Hectare,3631.0,Tonnes,0.567,Tonnes/Hectare,Khammam
284821,2014-2015,Telangana,36,Khammam,509,Moong(Green Gram),204.0,Pulses,Total,11248.0,Hectare,6054.0,Tonnes,0.538,Tonnes/Hectare,Khammam
284822,2014-2015,Telangana,36,Khammam,509,Onion,708.0,Vegetable,Kharif,1.0,Hectare,16.0,Tonnes,16.0,Tonnes/Hectare,Khammam
284823,2014-2015,Telangana,36,Khammam,509,Onion,708.0,Vegetable,Rabi,3.0,Hectare,82.0,Tonnes,27.333,Tonnes/Hectare,Khammam
284824,2014-2015,Telangana,36,Khammam,509,Onion,708.0,Vegetable,Total,4.0,Hectare,98.0,Tonnes,24.5,Tonnes/Hectare,Khammam
284825,2014-2015,Telangana,36,Khammam,509,Other Oilseeds,1088.0,Oilseeds,Kharif,3319.0,Hectare,89158.0,Tonnes,26.863,Tonnes/Hectare,Khammam
284826,2014-2015,Telangana,36,Khammam,509,Rice,101.0,Cereals,Kharif,110439.0,Hectare,328435.0,Tonnes,2.974,Tonnes/Hectare,Khammam
