id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change,area_change_pct
143500,2018-2019,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,9029.0,Medak,2018,8413.0,10684.0,616.0,7.322001664091288
143506,2018-2019,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,5147.0,Medak,2018,9029.0,10353.0,-3882.0,-42.99479455089158
151156,2019-2020,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,11965.0,Medak,2019,5147.0,9485.333333333334,6818.0,132.46551389158734
151162,2019-2020,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,7897.0,Medak,2019,11965.0,9839.57142857143,-4068.0,-33.99916422900125
158920,2020-2021,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,25017.0,Medak,2020,7897.0,9596.75,17120.0,216.79118652652906
158926,2020-2021,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,18378.0,Medak,2020,25017.0,11310.111111111111,-6639.0,-26.53795419115002
164512,2021-2022,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,36981.0,Medak,2021,18378.0,12016.9,18603.0,101.22428991185113
164518,2021-2022,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,18860.0,Medak,2021,36981.0,14286.363636363636,-18121.0,-49.00083826829994
171076,2022-2023,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Other Well,55285.0,Medak,2022,18860.0,14667.5,36425.0,193.13361611876988
171082,2022-2023,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Other Well,27744.0,Medak,2022,55285.0,17791.923076923078,-27541.0,-49.816405896717015
128441,2016-2017,Telangana,36,Siddipet,692.0,Gross Irrigated Area,Well,Tubewell,61072.0,Medak,2016,,,,
128447,2016-2017,Telangana,36,Siddipet,692.0,Net Irrigated Area,Well,Tubewell,41529.0,Medak,2016,61072.0,61072.0,-19543.0,-31.99993450353681
