id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
121025,2015-2016,Telangana,36,Ranga Reddy,518.0,Gross Irrigated Area,Well,Tubewell,62026.0,Ranga Reddy
121026,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Government,,Ranga Reddy
121027,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Canal,Private,,Ranga Reddy
121028,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Other Source,Other Source,1336.0,Ranga Reddy
121029,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Tank,Tank,483.0,Ranga Reddy
121030,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Other Well,930.0,Ranga Reddy
121031,2015-2016,Telangana,36,Ranga Reddy,518.0,Net Irrigated Area,Well,Tubewell,44563.0,Ranga Reddy
121032,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Government,19084.0,Warangal
121033,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Canal,Private,,Warangal
121034,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Other Source,Other Source,7861.0,Warangal
121035,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Tank,Tank,46056.0,Warangal
121036,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Other Well,196638.0,Warangal
121037,2015-2016,Telangana,36,Warangal,522.0,Gross Irrigated Area,Well,Tubewell,141293.0,Warangal
121038,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Government,12827.0,Warangal
121039,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Canal,Private,,Warangal
121040,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Other Source,Other Source,3976.0,Warangal
121041,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Tank,Tank,46056.0,Warangal
121042,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Other Well,148135.0,Warangal
121043,2015-2016,Telangana,36,Warangal,522.0,Net Irrigated Area,Well,Tubewell,96958.0,Warangal
128301,2016-2017,Telangana,36,Mahabubnagar,512.0,Net Irrigated Area,Tank,Tank,1246.0,Mahabubnagar
128136,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Government,48726.0,Adilabad
128137,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Canal,Private,,Adilabad
128138,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Other Source,Other Source,8137.0,Adilabad
128139,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Tank,Tank,2025.0,Adilabad
128140,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Other Well,96.0,Adilabad
128141,2016-2017,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Tubewell,9465.0,Adilabad
128142,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Government,16567.0,Adilabad
128143,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Private,,Adilabad
128144,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Other Source,Other Source,8137.0,Adilabad
128145,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Tank,Tank,2025.0,Adilabad
128146,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Other Well,96.0,Adilabad
128147,2016-2017,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Tubewell,5300.0,Adilabad
128148,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Canal,Government,17326.0,Khammam
128149,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Canal,Private,,Khammam
128150,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Other Source,Other Source,9006.0,Khammam
128151,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Tank,Tank,31863.0,Khammam
128152,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Well,Other Well,188.0,Khammam
128153,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Gross Irrigated Area,Well,Tubewell,18587.0,Khammam
128154,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Canal,Government,12689.0,Khammam
128155,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Canal,Private,,Khammam
128156,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Other Source,Other Source,6754.0,Khammam
128157,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Tank,Tank,28995.0,Khammam
128158,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Well,Other Well,124.0,Khammam
128159,2016-2017,Telangana,36,Bhadradri Kothagudem,690.0,Net Irrigated Area,Well,Tubewell,13383.0,Khammam
128160,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Canal,Government,39058.0,Warangal
128161,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Canal,Private,,Warangal
128162,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Other Source,Other Source,,Warangal
128163,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Tank,Tank,8235.0,Warangal
128164,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Well,Other Well,26304.0,Warangal
128165,2016-2017,Telangana,36,Hanumakonda,686.0,Gross Irrigated Area,Well,Tubewell,6576.0,Warangal
128166,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Canal,Government,19029.0,Warangal
128167,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Canal,Private,,Warangal
128168,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Other Source,Other Source,,Warangal
128169,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Tank,Tank,3294.0,Warangal
128170,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Well,Other Well,16571.0,Warangal
128171,2016-2017,Telangana,36,Hanumakonda,686.0,Net Irrigated Area,Well,Tubewell,4340.0,Warangal
128184,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Canal,Government,137517.0,Karimnagar
128185,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Canal,Private,,Karimnagar
128186,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Other Source,Other Source,23.0,Karimnagar
128187,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Tank,Tank,15285.0,Karimnagar
128188,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Well,Other Well,26375.0,Karimnagar
128189,2016-2017,Telangana,36,Jagitial,681.0,Gross Irrigated Area,Well,Tubewell,7439.0,Karimnagar
128190,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Canal,Government,101660.0,Karimnagar
128191,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Canal,Private,,Karimnagar
128192,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Other Source,Other Source,23.0,Karimnagar
128193,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Tank,Tank,11158.0,Karimnagar
128194,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Well,Other Well,18726.0,Karimnagar
128195,2016-2017,Telangana,36,Jagitial,681.0,Net Irrigated Area,Well,Tubewell,4612.0,Karimnagar
128196,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Canal,Government,17055.0,Warangal
128197,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Canal,Private,,Warangal
128198,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Other Source,Other Source,,Warangal
128199,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Tank,Tank,11821.0,Warangal
128200,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Well,Other Well,12261.0,Warangal
128201,2016-2017,Telangana,36,Jangoan,689.0,Gross Irrigated Area,Well,Tubewell,38825.0,Warangal
128202,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Canal,Government,11732.0,Warangal
128203,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Canal,Private,,Warangal
128204,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Other Source,Other Source,,Warangal
128205,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Tank,Tank,10994.0,Warangal
128206,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Well,Other Well,11035.0,Warangal
128207,2016-2017,Telangana,36,Jangoan,689.0,Net Irrigated Area,Well,Tubewell,26013.0,Warangal
128208,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Canal,Government,68534.0,Warangal
128209,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Canal,Private,,Warangal
128210,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Other Source,Other Source,2672.0,Warangal
128211,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Tank,Tank,11370.0,Warangal
128212,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Well,Other Well,11211.0,Warangal
128213,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Gross Irrigated Area,Well,Tubewell,33635.0,Warangal
128214,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Canal,Government,52068.0,Warangal
128215,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Canal,Private,,Warangal
128216,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Other Source,Other Source,1817.0,Warangal
128217,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Tank,Tank,9551.0,Warangal
128218,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Well,Other Well,9866.0,Warangal
128219,2016-2017,Telangana,36,Jayashankar Bhupalapally,687.0,Net Irrigated Area,Well,Tubewell,23881.0,Warangal
128220,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Canal,Government,49630.0,Mahabubnagar
128221,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Canal,Private,,Mahabubnagar
128222,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Other Source,Other Source,1715.0,Mahabubnagar
128223,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Tank,Tank,3187.0,Mahabubnagar
128224,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Well,Other Well,1395.0,Mahabubnagar
128225,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Gross Irrigated Area,Well,Tubewell,21858.0,Mahabubnagar
128226,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Canal,Government,42886.0,Mahabubnagar
128227,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Canal,Private,,Mahabubnagar
128228,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Other Source,Other Source,1646.0,Mahabubnagar
128229,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Tank,Tank,2454.0,Mahabubnagar
128230,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Well,Other Well,1158.0,Mahabubnagar
128231,2016-2017,Telangana,36,Jogulamba Gadwal,695.0,Net Irrigated Area,Well,Tubewell,16612.0,Mahabubnagar
128232,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Canal,Government,10164.0,Nizamabad
128233,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Canal,Private,,Nizamabad
128234,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Other Source,Other Source,8357.0,Nizamabad
128235,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Tank,Tank,5634.0,Nizamabad
128236,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Well,Other Well,,Nizamabad
128237,2016-2017,Telangana,36,Kamareddy,685.0,Gross Irrigated Area,Well,Tubewell,88571.0,Nizamabad
128238,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Canal,Government,3778.0,Nizamabad
128239,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Canal,Private,,Nizamabad
128240,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Other Source,Other Source,8357.0,Nizamabad
128241,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Tank,Tank,5521.0,Nizamabad
128242,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Well,Other Well,,Nizamabad
128243,2016-2017,Telangana,36,Kamareddy,685.0,Net Irrigated Area,Well,Tubewell,56685.0,Nizamabad
128244,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Government,142417.0,Karimnagar
128245,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Private,,Karimnagar
128246,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Other Source,Other Source,352.0,Karimnagar
128247,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Tank,Tank,9635.0,Karimnagar
128248,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Other Well,14633.0,Karimnagar
128249,2016-2017,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Tubewell,1272.0,Karimnagar
128250,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Government,91105.0,Karimnagar
128251,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Private,,Karimnagar
128252,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Other Source,Other Source,352.0,Karimnagar
128253,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Tank,Tank,8671.0,Karimnagar
128254,2016-2017,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Other Well,6374.0,Karimnagar
