id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name,year_start,previous_year_area,historical_avg_area,area_change
528645,2020-2021,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,1426.0,Adilabad,2020,3158.0,7229.5,-1732.0
547285,2021-2022,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,2611.0,Adilabad,2021,1426.0,6400.428571428572,1185.0
569165,2022-2023,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,Kharif,6355.0,Adilabad,2022,2611.0,5926.75,3744.0
379068,2014-2015,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2014,,,
403108,2015-2016,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2015,0.0,0.0,0.0
427148,2016-2017,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2016,0.0,0.0,0.0
452148,2017-2018,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2017,0.0,0.0,0.0
477348,2018-2019,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2018,0.0,0.0,0.0
502788,2019-2020,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2019,0.0,0.0,0.0
528668,2020-2021,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2020,0.0,0.0,0.0
547308,2021-2022,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2021,0.0,0.0,0.0
569188,2022-2023,Telangana,36,Adilabad,501.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,Kharif,0.0,Adilabad,2022,0.0,0.0,0.0
379046,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,0.0,Adilabad,2014,,,
379047,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,0.0,Adilabad,2014,0.0,0.0,0.0
379048,2014-2015,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,0.0,Adilabad,2014,0.0,0.0,0.0
403086,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,0.0,Adilabad,2015,0.0,0.0,0.0
403087,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,0.0,Adilabad,2015,0.0,0.0,0.0
403088,2015-2016,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,0.0,Adilabad,2015,0.0,0.0,0.0
427126,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,0.0,Adilabad,2016,0.0,0.0,0.0
427127,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,1.0,Adilabad,2016,0.0,0.0,1.0
427128,2016-2017,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,0.0,Adilabad,2016,1.0,0.125,-1.0
452126,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,0.0,Adilabad,2017,0.0,0.1111111111111111,0.0
452127,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,1.0,Adilabad,2017,0.0,0.1,1.0
452128,2017-2018,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,0.0,Adilabad,2017,1.0,0.18181818181818182,-1.0
477326,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,0.0,Adilabad,2018,0.0,0.16666666666666666,0.0
477327,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,1.0,Adilabad,2018,0.0,0.15384615384615385,1.0
477328,2018-2019,Telangana,36,Adilabad,501.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,0.0,Adilabad,2018,1.0,0.21428571428571427,-1.0
