id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name,year_start,previous_year_yield,historical_avg_yield,previous_year_production,previous_year_area
284692,2014-2015,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,543.0,Hectare,447.0,Tonnes,0.823,Tonnes/Hectare,Adilabad,2014,,,,
303182,2015-2016,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,419.0,Hectare,422.0,Tonnes,1.007,Tonnes/Hectare,Adilabad,2015,0.823,0.823,447.0,543.0
322100,2016-2017,Telangana,36,Adilabad,501,Arhar/Tur,202.0,Pulses,Rabi,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2016,1.007,0.9149999999999999,422.0,419.0
322483,2016-2017,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,296.0,Hectare,327.0,Tonnes,1.105,Tonnes/Hectare,Adilabad,2016,1.0,0.9433333333333334,1.0,1.0
322601,2016-2017,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,120.0,Hectare,132.0,Tonnes,1.1,Tonnes/Hectare,Adilabad,2016,1.105,0.9837499999999999,327.0,296.0
322787,2016-2017,Telangana,36,Nirmal,680,Arhar/Tur,202.0,Pulses,Rabi,210.0,Hectare,232.0,Tonnes,1.105,Tonnes/Hectare,Adilabad,2016,1.1,1.0070000000000001,132.0,120.0
343094,2017-2018,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,25.0,Hectare,18.0,Tonnes,0.72,Tonnes/Hectare,Adilabad,2017,1.105,1.0233333333333332,232.0,210.0
343215,2017-2018,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,116.0,Hectare,66.0,Tonnes,0.569,Tonnes/Hectare,Adilabad,2017,0.72,0.9799999999999999,18.0,25.0
363786,2018-2019,Telangana,36,Kumuram Bheem Asifabad,699,Arhar/Tur,202.0,Pulses,Rabi,10.0,Hectare,10.0,Tonnes,1.0,Tonnes/Hectare,Adilabad,2018,0.569,0.928625,66.0,116.0
363895,2018-2019,Telangana,36,Mancherial,684,Arhar/Tur,202.0,Pulses,Rabi,122.0,Hectare,97.0,Tonnes,0.795,Tonnes/Hectare,Adilabad,2018,1.0,0.9365555555555556,10.0,10.0
