id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
12038,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Other Source,Other Source,2170.0,Adilabad
12039,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Tank,Tank,22398.0,Adilabad
12040,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Other Well,17950.0,Adilabad
12041,1999-2000,Telangana,36,Adilabad,501.0,Gross Irrigated Area,Well,Tubewell,26720.0,Adilabad
12042,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Government,23600.0,Adilabad
12043,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Canal,Private,,Adilabad
12044,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Other Source,Other Source,2079.0,Adilabad
12045,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Tank,Tank,19967.0,Adilabad
12046,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Other Well,14700.0,Adilabad
12047,1999-2000,Telangana,36,Adilabad,501.0,Net Irrigated Area,Well,Tubewell,16678.0,Adilabad
12048,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Government,90650.0,Karimnagar
12049,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Private,,Karimnagar
12050,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Other Source,Other Source,3732.0,Karimnagar
12051,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Tank,Tank,44307.0,Karimnagar
12052,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Other Well,227090.0,Karimnagar
12053,1999-2000,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Tubewell,7368.0,Karimnagar
12054,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Government,64477.0,Karimnagar
12055,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Private,,Karimnagar
12056,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Other Source,Other Source,2742.0,Karimnagar
12057,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Tank,Tank,31900.0,Karimnagar
12058,1999-2000,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Other Well,151923.0,Karimnagar
