id,year,state_name,state_code,district_name,district_code,food_category,crop_type,sub_crop_type,crop_name,crop_code,season,area,old_district_name
17868,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Karimnagar
17869,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Karimnagar
17870,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Karimnagar
17871,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,69.0,Karimnagar
17872,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,20257.0,Karimnagar
17873,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Karimnagar
17874,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,5755.0,Karimnagar
17875,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Rapeseed and Mustard,1004.0,,,Karimnagar
17876,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Sesamum,1003.0,,3380.0,Karimnagar
17877,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Soyabean,1009.0,,,Karimnagar
17878,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Oilseeds,Oilseeds,Sunflower,1007.0,,,Karimnagar
17879,1998-1999,Telangana,36,Karimnagar,508.0,Non Food Crop,Other Non Food Crops,Other Non Food Crops,Other Non Food Crops,1888.0,,128.0,Karimnagar
17880,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Bajra,103.0,,,Khammam
17881,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Barley,107.0,,,Khammam
17882,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Kharif,,Khammam
17883,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Rabi,,Khammam
17884,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Jowar,102.0,Summer,,Khammam
17885,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Maize,104.0,,2379.0,Khammam
17886,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Kharif,,Khammam
17887,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Rabi,,Khammam
17888,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Other Cereals and Millets,188.0,Summer,,Khammam
17889,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Ragi,105.0,,,Khammam
17890,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Autumn,130688.0,Khammam
17891,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Kharif,,Khammam
17892,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Summer,24929.0,Khammam
17893,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Rice,101.0,Winter,,Khammam
17894,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Cereals & Millets,Cereals & Millets,Wheat,106.0,,,Khammam
17895,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Other Food Crops,Other Food Crops,Other Food Crops,801.0,,8778.0,Khammam
17896,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Arhar(Tur),202.0,,417.0,Khammam
17899,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Rabi,652.0,Khammam
17900,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Pulses,Pulses,Other Pulses,288.0,Summer,,Khammam
17901,1998-1999,Telangana,36,Khammam,509.0,Food Crop,Sugar,Sugar,Sugarcane,401.0,,6200.0,Khammam
17902,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Coffee,1502.0,,,Khammam
17903,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Other Plantation Crops,1588.0,,,Khammam
17904,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tea,1501.0,,,Khammam
17905,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,"Drugs, Narcotics and plantation Crop","Drugs, Narcotics and plantation Crop",Tobacco,1302.0,,8983.0,Khammam
17906,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Cotton,1101.0,,10673.0,Khammam
17907,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Jute,1102.0,,,Khammam
17908,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Mesta,1103.0,,,Khammam
17909,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Other Fibres,1188.0,,,Khammam
17910,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fiber,Fiber,Sanhemp,1104.0,,,Khammam
17911,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Fodder Crops,Fodder Crops,Fodder Crops,1488.0,,451.0,Khammam
17912,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Groundnut,1001.0,,7095.0,Khammam
17913,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Linseed,1005.0,,,Khammam
17914,1998-1999,Telangana,36,Khammam,509.0,Non Food Crop,Oilseeds,Oilseeds,Other Oilseeds,1088.0,,2889.0,Khammam
