id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
429762,2021-2022,Telangana,36,Vikarabad,698,Moong(Green Gram),204.0,Pulses,Rabi,53.0,Hectare,51.0,Tonnes,0.962,Tonnes/Hectare,Ranga Reddy
429763,2021-2022,Telangana,36,Vikarabad,698,Moong(Green Gram),204.0,Pulses,Total,6250.0,Hectare,4333.0,Tonnes,0.693,Tonnes/Hectare,Ranga Reddy
429764,2021-2022,Telangana,36,Vikarabad,698,Onion,708.0,Vegetable,Kharif,205.0,Hectare,1779.0,Tonnes,8.678,Tonnes/Hectare,Ranga Reddy
429765,2021-2022,Telangana,36,Vikarabad,698,Onion,708.0,Vegetable,Rabi,1545.0,Hectare,32774.0,Tonnes,21.213,Tonnes/Hectare,Ranga Reddy
429766,2021-2022,Telangana,36,Vikarabad,698,Onion,708.0,Vegetable,Total,1750.0,Hectare,34553.0,Tonnes,19.745,Tonnes/Hectare,Ranga Reddy
429767,2021-2022,Telangana,36,Vikarabad,698,Potato,701.0,Vegetable,Kharif,1.0,Hectare,39.0,Tonnes,39.0,Tonnes/Hectare,Ranga Reddy
429768,2021-2022,Telangana,36,Vikarabad,698,Potato,701.0,Vegetable,Rabi,297.0,Hectare,11478.0,Tonnes,38.646,Tonnes/Hectare,Ranga Reddy
429769,2021-2022,Telangana,36,Vikarabad,698,Potato,701.0,Vegetable,Total,298.0,Hectare,11517.0,Tonnes,38.648,Tonnes/Hectare,Ranga Reddy
429770,2021-2022,Telangana,36,Vikarabad,698,Ragi,105.0,Cereals,Kharif,49.0,Hectare,81.0,Tonnes,1.653,Tonnes/Hectare,Ranga Reddy
429771,2021-2022,Telangana,36,Vikarabad,698,Ragi,105.0,Cereals,Rabi,112.0,Hectare,185.0,Tonnes,1.652,Tonnes/Hectare,Ranga Reddy
429772,2021-2022,Telangana,36,Vikarabad,698,Ragi,105.0,Cereals,Total,161.0,Hectare,266.0,Tonnes,1.652,Tonnes/Hectare,Ranga Reddy
429773,2021-2022,Telangana,36,Vikarabad,698,Rice,101.0,Cereals,Kharif,46773.0,Hectare,136390.0,Tonnes,2.916,Tonnes/Hectare,Ranga Reddy
429774,2021-2022,Telangana,36,Vikarabad,698,Rice,101.0,Cereals,Rabi,6923.0,Hectare,20693.0,Tonnes,2.989,Tonnes/Hectare,Ranga Reddy
429775,2021-2022,Telangana,36,Vikarabad,698,Rice,101.0,Cereals,Total,53696.0,Hectare,157083.0,Tonnes,2.925,Tonnes/Hectare,Ranga Reddy
429776,2021-2022,Telangana,36,Vikarabad,698,Safflower,1008.0,Oilseeds,Kharif,11.0,Hectare,10.0,Tonnes,0.909,Tonnes/Hectare,Ranga Reddy
429777,2021-2022,Telangana,36,Vikarabad,698,Safflower,1008.0,Oilseeds,Rabi,1359.0,Hectare,1279.0,Tonnes,0.941,Tonnes/Hectare,Ranga Reddy
429778,2021-2022,Telangana,36,Vikarabad,698,Safflower,1008.0,Oilseeds,Total,1370.0,Hectare,1289.0,Tonnes,0.941,Tonnes/Hectare,Ranga Reddy
429779,2021-2022,Telangana,36,Vikarabad,698,Sesamum,1003.0,Oilseeds,Kharif,61.0,Hectare,22.0,Tonnes,0.361,Tonnes/Hectare,Ranga Reddy
429780,2021-2022,Telangana,36,Vikarabad,698,Sesamum,1003.0,Oilseeds,Rabi,18.0,Hectare,14.0,Tonnes,0.778,Tonnes/Hectare,Ranga Reddy
429781,2021-2022,Telangana,36,Vikarabad,698,Sesamum,1003.0,Oilseeds,Total,79.0,Hectare,36.0,Tonnes,0.456,Tonnes/Hectare,Ranga Reddy
429782,2021-2022,Telangana,36,Vikarabad,698,Small Millets,108.0,Cereals,Kharif,13.0,Hectare,10.0,Tonnes,0.769,Tonnes/Hectare,Ranga Reddy
429783,2021-2022,Telangana,36,Vikarabad,698,Small Millets,108.0,Cereals,Rabi,4.0,Hectare,3.0,Tonnes,0.75,Tonnes/Hectare,Ranga Reddy
429784,2021-2022,Telangana,36,Vikarabad,698,Small Millets,108.0,Cereals,Total,17.0,Hectare,13.0,Tonnes,0.765,Tonnes/Hectare,Ranga Reddy
429785,2021-2022,Telangana,36,Vikarabad,698,Soyabean,1009.0,Oilseeds,Kharif,560.0,Hectare,781.0,Tonnes,1.395,Tonnes/Hectare,Ranga Reddy
429786,2021-2022,Telangana,36,Vikarabad,698,Soyabean,1009.0,Oilseeds,Rabi,9.0,Hectare,13.0,Tonnes,1.444,Tonnes/Hectare,Ranga Reddy
429787,2021-2022,Telangana,36,Vikarabad,698,Soyabean,1009.0,Oilseeds,Total,569.0,Hectare,794.0,Tonnes,1.395,Tonnes/Hectare,Ranga Reddy
429788,2021-2022,Telangana,36,Vikarabad,698,Sugarcane,401.0,Sugar,Kharif,2261.0,Hectare,230005.0,Tonnes,101.727,Tonnes/Hectare,Ranga Reddy
429789,2021-2022,Telangana,36,Vikarabad,698,Sunflower,1007.0,Oilseeds,Rabi,8.0,Hectare,11.0,Tonnes,1.375,Tonnes/Hectare,Ranga Reddy
429790,2021-2022,Telangana,36,Vikarabad,698,Sweet Potato,703.0,Vegetable,Kharif,11.0,Hectare,143.0,Tonnes,13.0,Tonnes/Hectare,Ranga Reddy
429791,2021-2022,Telangana,36,Vikarabad,698,Sweet Potato,703.0,Vegetable,Rabi,1.0,Hectare,13.0,Tonnes,13.0,Tonnes/Hectare,Ranga Reddy
429792,2021-2022,Telangana,36,Vikarabad,698,Sweet Potato,703.0,Vegetable,Total,12.0,Hectare,156.0,Tonnes,13.0,Tonnes/Hectare,Ranga Reddy
429793,2021-2022,Telangana,36,Vikarabad,698,Turmeric,504.0,Spices,Kharif,1269.0,Hectare,14305.0,Tonnes,11.273,Tonnes/Hectare,Ranga Reddy
429794,2021-2022,Telangana,36,Vikarabad,698,Turmeric,504.0,Spices,Rabi,9.0,Hectare,101.0,Tonnes,11.222,Tonnes/Hectare,Ranga Reddy
429795,2021-2022,Telangana,36,Vikarabad,698,Turmeric,504.0,Spices,Total,1278.0,Hectare,14406.0,Tonnes,11.272,Tonnes/Hectare,Ranga Reddy
